WISC_Num,Origin_Num,Sample_Location,Origin_Number2,Continent,Country,State,Locality,Protected_Status,Family,Genus_Species,Previous_Designation,Remarks,Locality,Lat_LongN/W,Common_Name,Authority,Subspecies,Variety,Eminent_Org,Collector,Source_Type,Collection_Date,Drawer,Description,Heartwood_Sapwood,Color,NFWFL_Analyzed,Polarity,Instrument,Catalogued_By,Object_Status,Issue
Ww220367,SUNYESF-8089,Tower 1 Drawer 2,,North America,USA,New York,,,Pinaceae,Abies balsamea,,,,,Balsam fir,(L.) Mill.,,,SUNY-ESF,,Research,,,Block,,,,,,Kimberlee Hudson,,
Ww220368,SUNYESF-8252,Tower 1 Drawer 2,,North America,USA,Minnesota,,,Pinaceae,Abies balsamea,,,,,Balsam fir,(L.) Mill.,,,SUNY-ESF,,Research,,,Block,,,,,,Kimberlee Hudson,,
Ww220369,SUNYESF-8653,Tower 1 Drawer 2,,North America,USA,Wisconsin,,,Pinaceae,Abies balsamea,,,,,Balsam fir,(L.) Mill.,,,SUNY-ESF,,Research,,,Block,,,,,,Kimberlee Hudson,,
Ww220370,SUNYESF-8660,Tower 1 Drawer 2,,North America,USA,Maine,,,Pinaceae,Abies balsamea,,,,,Balsam fir,(L.) Mill.,,,SUNY-ESF,,Research,,,Block,,,,,,Kimberlee Hudson,,
Ww220373,SUNYESF-8366,Tower 1 Drawer 2,,North America,Canada,Vancouver,,,Pinaceae,Abies grandis,,,,,Grand fir,(Douglas ex D.Don) Lindl.,,,SUNY-ESF,,Research,,,Block,,,,,,Kimberlee Hudson,,
Ww220371,SUNYESF-8105,Tower 1 Drawer 2,,North America,USA,Washington,,,Pinaceae,Abies grandis,,,,,Lowland White fir,(Douglas ex D.Don) Lindl.,,,SUNY-ESF,,Research,,,Block,,,,,,Kimberlee Hudson,,
Ww220372,SUNYESF-8124,Tower 1 Drawer 2,,North America,USA,Idaho,,,Pinaceae,Abies grandis,,,,,Lowland White fir,(Douglas ex D.Don) Lindl.,,,SUNY-ESF,,Research,,,Block,,,,,,Kimberlee Hudson,,
Ww210062,Gleaves_10_483,Tower 1 Drawer 2,,North America,USA ,,,,Pinaceae,Abies grandis,,,,,Grand fir,(Douglas ex D.Don) Lindl.,,,Private,William Gleaves,Private,,,Block,,,TRUE,DART+,Juliet,Erin McClure-Price,,
Ww220374,SUNYESF-8237,Tower 1 Drawer 2,,North America,USA,Washington,,,Pinaceae,Abies procera,,,,,Noble fir,Rehder,,,SUNY-ESF,,Research,,,Block,,,,,,Kimberlee Hudson,,
Ww210033,TimberEngCo_34,Tower 1 Drawer 3,,North America,USA ,,,,Pinaceae,Abies sp.,,,,,White fir,Mill.,,,Timber Engineering Co. Washington D.C.,,Research,,,Block,,,TRUE,DART+,Juliet,Erin McClure-Price,,
Ww200475,100355,Tower 1 Drawer 3,,Asia,Laos,Attapeu,,,Fabaceae,Acacia  harmandiana,,,,,,(Pierre) Gagnep.,,,"Royal Botanical Gardens, Kew",,Research,,,Block,,,TRUE,DART+,Juliet,Erin McClure-Price,,
Ww200474,100560,Tower 1 Drawer 3,,Asia,Laos,Vientiane,,,Fabaceae,Acacia auriculiformis,,,,,,Benth.,,,"Royal Botanical Gardens, Kew",,Research,,,Block,,,TRUE,DART+,Juliet,Erin McClure-Price,,
